,HLA-DRA,FOS,HLA-DPA1,DUSP1,GZMA,CCL4,SELL,CD69,NKG7,CST7,LTB,CD74,GZMK,CCL4L1,CCL4L2,CD8A,PRF1,KLRK1,TSC22D3,PIK3IP1,group
cy58-1-CD45-pos-H02-S662-comb,0.0,10.06,0.0,7.4417,6.1482,0.0,5.8241,8.942,0.0,0.0,7.1979,4.829,7.1346,0.0,0.0,0.68796,0.0,0.0,8.681000000000001,0.0,1.0
cy58-1-CD45-pos-A04-S580-comb,7.162999999999999,9.6006,0.7433,0.0,5.048,6.7229,4.9955,7.4832,7.247000000000001,5.8753,0.0,7.3067,7.1251,3.9439,3.9439,7.8574,5.9476,8.8982,7.3942,0.0,1.0
cy74-CD45-pos-B06-S690-comb,4.9359,8.1285,3.1757,5.6091,5.2164,7.9073,0.0,5.0551,7.6088,4.992,0.0,7.5527,0.0,4.1616,4.1616,4.9953,4.9661,7.6554,7.4791,1.9119,1.0
cy80-CD45-pos-PD1-pos-H06-S186-comb,0.0,5.931,0.0,6.8643,0.0,0.0,6.3599,6.7889,0.0,5.5034,0.0,7.0022,0.0,0.0,0.0,0.0,0.0,0.0,7.6677,7.739,1.0
cy82-CD45-neg-1-B09-S213-comb,0.0,9.4171,0.0,8.1136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8399,0.0,1.0
cy58-1-CD45-pos-C12-S612-comb,3.4853,7.586,6.5052,7.9624,8.0512,4.6317,4.6759,4.1904,9.1896,7.224,0.0,7.7571,5.0381,2.3173,2.3173,8.8434,8.4395,6.1289,6.6749,3.1135,1.0
cy80-CD45-pos-PD1-pos-F03-S159-comb,0.0,6.6783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3173,0.0,0.0,0.0,0.0,0.0,2.1969,7.1202,1.1157,1.0
cy72-CD45-pos-A11-S875-comb,11.630999999999998,4.9413,9.9025,4.167,0.0,0.0,3.1285,5.4086,0.0,0.0,4.1325,11.757,0.0,0.0,0.0,0.0,0.0,0.0,8.212,0.0,1.0
cy72-CD45-pos-F03-S927-comb,0.0,0.83915,0.0,8.1052,0.0,0.0,6.8783,8.0039,0.0,0.0,5.7944,3.5274,0.0,0.0,0.0,0.0,0.0,0.0,9.1656,7.4514,1.0
cy74-CD45-pos-C09-S705-comb,0.0,5.9818,6.3244,9.4983,0.0,7.534,0.0,0.0,7.5274,4.8239,0.0,7.5215,0.0,6.3776,6.3776,5.26,1.2185,5.8878,6.3319,7.4822,1.0
cy80-CD45-pos-PD1-pos-B10-S118-comb,6.2189,4.5245,6.0803,0.0,0.0,0.0,6.9078,7.669,0.0,3.555,0.0,9.1733,0.0,0.0,0.0,0.0,1.1738,0.0,8.4456,4.6563,1.0
cy82-CD45-pos-2-G03-S555-comb,0.0,0.0,0.0,0.0,0.0,0.0,5.2727,5.1266,0.0,6.0075,5.6574,5.9315,0.0,0.0,0.0,0.23510999999999999,5.9641,0.0,5.6011,0.0,1.0
cy74-CD45-pos-D03-S711-comb,10.48,8.0276,8.1773,8.1524,0.0,0.0,0.0,6.1496,0.0,0.0,7.268,10.363,0.0,0.0,0.0,0.0,0.0,0.0,8.5444,0.0,1.0
cy80-CD45-pos-PD1-pos-B07-S115-comb,6.321000000000001,4.6554,5.5616,3.3960000000000004,7.6945,4.3127,0.0,3.8328,7.4087,5.4696,0.0,7.3025,5.2928,4.9008,4.9008,0.0,5.277,4.2102,4.939,0.0,1.0
cy53-1-CD45-pos-2-A05-S965-comb,7.6774,5.1605,7.1482,7.707000000000001,6.8417,9.3512,6.9656,5.9113,9.5085,9.0538,0.0,8.6521,0.0,8.9757,8.9757,0.0,9.7287,6.7011,6.6408,0.0,1.0
cy72-CD45-pos-B09-S885-comb,1.4885,7.6575,0.0,3.1362,0.0,0.0,7.2346,6.8119,0.0,0.0,0.0,5.9059,0.0,0.0,0.0,0.0,0.0,0.0,8.4916,5.249,1.0
cy72-CD45-pos-A07-S871-comb,0.0,5.8106,0.0,4.2555,0.0,0.0,5.9163,6.0745,0.0,0.0,6.7751,4.3261,0.0,0.0,0.0,0.0,3.1736,0.0,9.6604,6.7124,1.0
cy80-CD45-pos-PD1-pos-G10-S178-comb,7.346,8.2229,6.6948,4.586,7.42,8.2976,0.0,8.0767,9.3905,8.102,0.0,7.2987,8.2291,2.2672,2.2672,0.0,7.9542,7.8906,7.3006,0.0,1.0
