,IGKC,MS4A1,CD74,LRMP,IGJ,FCER1G,CCL4,TRBC2,HLA-DRA,CD83,CD52,IGHG1,CCL3,CD63,RGS2,CD69,RGS1,IFITM2,S100A4,GPR183,group
BC03LN_21,8.046193867000001,7.428083609,8.898127874,8.048005229,6.76167693,0.0,1.283707772,0.751416089,9.282045961,7.362816576,7.357141574,6.2724995770000005,5.339987002,0.0,8.599688888,7.945459781,7.829479224,5.128714582,0.0,4.713934901,1.0
BC03LN_26,8.971495447,7.947908308,8.705385813,7.953371069,6.320372532,0.0,0.0,0.0,8.978524323,7.711284844,6.90712508,6.655826376,5.087472871,0.0,8.293476976000001,6.128265589,7.889668943999999,0.0,0.0,3.2809112160000002,1.0
BC03LN_27,12.35146946,4.313881618,7.285883448,0.322083499,9.05850767,0.0,4.6532934610000005,0.357674444,5.938116512000001,1.410986974,5.436991761,11.45059687,6.434353884,2.583242551,3.722797672,5.646471107999999,4.846232238,5.655991811,0.0,0.0,1.0
BC03LN_31,8.757561934,6.648958642999999,8.576791404,7.038142985,5.383806752999999,0.0,0.0,0.0,8.53108229,7.8752371,5.663897541,4.035832291,0.457424847,0.620576488,6.720835165,6.294121435,6.734579769,0.0,0.0,3.371768571,1.0
BC03LN_32,9.056633094,7.335171033,8.975540398,7.9055596360000004,6.941673497000001,4.585375559,2.391511302,0.0,9.062119907000001,7.80269162,6.834367048,5.530737755,0.0,3.105035008,8.151206456,7.459598078,6.572702035,5.584285471,0.0,6.795817626,1.0
BC03LN_34,0.0,6.86078945,8.256007632000001,7.4670110020000005,6.542068421000001,0.0,4.120174738999999,6.635618418,8.546109069,7.004246579,6.329025477,1.244154594,4.126811752,0.0,7.828097791,7.247977617999999,7.407705985,0.0,1.147402453,4.442415935,1.0
BC03LN_37,9.930929066000001,6.721847298999999,8.818112267,6.700915594,6.621805039,0.0,6.637729742,0.0,9.03736104,6.312333541,6.331573022000001,9.101606395,7.0661000089999995,0.0,5.453267727,6.840664169,9.241870046,5.822157927,0.0,4.5943114430000005,1.0
BC03LN_38,9.055080911000001,6.281518804,8.520236556,6.93295508,4.487062098,0.0,0.0,0.457424847,8.854018222999999,6.355951397999999,6.386643601,7.496946512999999,3.431726587,0.0,6.037918651,8.16346248,7.648816049,0.0,0.0,0.343589704,1.0
BC03LN_42,1.5953389880000002,7.101057987999999,8.809823998999999,8.282227534,3.506157817,0.0,0.8458682679999999,0.0,8.849445106000001,7.56314867,7.141522202000001,6.240158879,0.0,0.0,8.222153451,7.687891753,8.026023125,3.933393031,0.0,4.129550818,1.0
BC03LN_44,8.909450121,7.434960029,8.63526774,7.45274462,5.662092048,0.0,0.0,0.0,9.10046412,7.143617602999999,6.303259796,7.256339582000001,3.190064743,1.088561953,7.145590379,7.148345743999999,6.638030996,1.648658626,0.0,0.21511138,1.0
BC03LN_48,8.38527193,6.989372132000001,9.060127761,7.360873397000001,8.484463367,0.0,5.1623830889999995,2.02287119,8.660598922,6.455245732000001,6.613719733,10.26123717,9.327795354,0.0,6.23605643,8.03195084,7.714931792000001,4.185251121,0.0,4.834057212,1.0
BC03LN_49,2.598235335,8.480491862000001,8.461369651,6.119373916,0.806475866,0.0,6.397129635,7.783832165,8.220300834,7.1064585860000005,8.318798349,4.9725179719999995,6.226675,0.760805829,8.544524271,7.172969325,5.5992364420000005,6.054368921,0.0,6.884650405,1.0
BC03LN_50,7.403426655,7.121510901000001,8.912444987,8.386560451,5.752223371,0.0,0.0,0.6626879729999999,8.931236072,7.749253497000001,5.398660315,6.598032076,0.0,0.0,6.408841757,7.4600817070000005,6.946658633999999,0.0,0.0,0.0,1.0
BC03LN_51,5.747544144,7.48428437,8.936333697,7.3243976879999995,1.095273387,0.0,5.162325807,0.0,8.814887473999999,7.658756187000001,7.008839665,5.078231635,0.0,0.0,6.738247277,5.877483649,6.921155099,5.031940061,0.0,5.14493306,1.0
BC03LN_53,1.5539252030000001,0.378436436,6.552821675,6.3322844620000005,0.570979547,0.0,0.0,7.9187196239999995,5.906913777000001,2.849549763,7.817335546,1.6409365790000001,0.0,0.0,7.99602426,8.346096401,8.805222204,6.363372872,5.631570141,5.118712117,1.0
BC03LN_56,2.568788134,0.0,6.501679985,0.270027137,0.0,0.0,1.2947271679999999,7.522135187999999,1.064710737,7.59032168,5.978277985,2.505525937,0.732367894,4.634826071,0.0,7.421129652,8.132230466000001,4.70682384,6.356385400000001,7.015038944,1.0
BC03LN_58,4.551136297,5.446694267000001,8.742761002,6.710815393,1.627277831,0.559615788,0.652325186,0.40546510799999996,7.4622723760000005,5.9930882279999995,3.532810268,2.603430152,5.527323697999999,0.0,0.0,6.734627331,1.941615225,1.029619417,0.0,0.300104592,1.0
